"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.x","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","X.data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.y"
"07-JACB-1.9-08022018-WS","E200.8","08/10/2018 17:33:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/08/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807362-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-22-4","Silver",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.039,0.039,1,"ug/l","ug/l",NA,0.039,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-JACB-1.9-08022018-WS","WS","N","Field","","R1807362","08/02/2018 09:45:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-JACB-1.9-08022018-WS","E200.7","08/10/2018 13:42:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/08/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807362-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-89-6","Iron",405,NA,"TRG","Yes","Y","",NA,"",NA,13,NA,100,"ug/l","ug/l",NA,13,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-JACB-1.9-08022018-WS","WS","N","Field","","R1807362","08/02/2018 09:45:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","SM2340B","08/10/2018 13:48:00","T",NA,"initial","WS","LB",NA,NA,1,"","08/08/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807362-004",NA,0,"mL",NA,NA,NA,NA,NA,"","HARD","HARDNESS (AS CACO3)",141,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,6.62,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","Calculation","08/03/2018 20:26:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807362-004",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",1.13,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","E353.2","08/23/2018 18:35:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807362-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",1.21,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","D6919-09","08/16/2018 13:34:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807362-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0422,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","E300.0","08/14/2018 22:13:00","T",NA,"initial","WS","LB",NA,NA,10,"","",NA,NA,"ALSRNY","quant","R1807362-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","16887-00-6","CHLORIDE (AS CL)",46.7,NA,"TRG","Yes","Y","",NA,"",NA,0.2,NA,2,"mg/l","mg/l",NA,0.2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","E200.8","08/10/2018 17:37:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/08/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807362-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-43-9","Cadmium",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.064,0.064,1,"ug/l","ug/l",NA,0.064,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","E200.8","08/10/2018 17:37:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/08/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807362-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-50-8","Copper",2.8,NA,"TRG","Yes","Y","",NA,"",NA,0.66,NA,1,"ug/l","ug/l",NA,0.66,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","E353.2","08/03/2018 20:26:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807362-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.084,NA,"TRG","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-3.4-08022018-WS","SM 2320 B","08/08/2018 03:42:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807362-004",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",111,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807362","ALSRNY","07-KEUK-3.4-08022018-WS","WS","N","Field","","R1807362","08/02/2018 10:30:00","Unknown",NA,NA,NA,NA,NA,"08/03/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
